game_age,owners_mean,total_reviews,positive_ratio,num_languages,num_genres,windows,mac,linux,dlc_count,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_RPG,genre_Strategy,genre_Simulation,precos_categorizados
3,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
10,10000.0,255,0.9882352941176471,1,1,1,0,0,0,0,0,1,0,0,0,0,medio_alto
7,10000.0,24,0.875,4,1,1,1,0,0,0,0,0,1,0,0,0,medio_alto
2,10000.0,0,0.0,1,3,1,0,0,1,1,0,0,1,0,0,1,alto
1,10000.0,0,0.0,1,2,1,0,0,0,0,1,0,0,0,0,0,medio_alto
3,10000.0,0,0.0,9,2,1,0,0,0,0,1,1,0,0,0,0,alto
1,10000.0,130,0.9,1,2,1,0,0,1,0,0,0,0,0,1,1,alto
8,10000.0,0,0.0,1,2,1,0,0,0,1,1,0,0,0,0,0,baixo
5,10000.0,32,0.875,29,2,1,0,0,0,1,0,0,1,0,0,0,baixo
5,10000.0,25,0.76,30,4,1,1,1,1,1,1,0,1,0,1,0,baixo
4,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
7,10000.0,53,0.8867924528301887,2,2,1,1,1,1,1,0,1,0,0,0,0,baixo
7,150000.0,1235,0.8299595141700404,6,1,1,0,0,4,0,0,0,0,0,1,0,alto
3,10000.0,66,0.9696969696969697,2,2,1,1,0,0,1,0,0,1,0,0,0,baixo
2,10000.0,44,0.7727272727272727,4,3,1,0,0,0,1,0,1,1,0,0,0,baixo
6,10000.0,0,0.0,1,1,1,1,0,1,0,0,0,0,1,0,0,baixo
3,10000.0,2,1.0,13,1,1,0,0,0,0,1,0,0,0,0,0,baixo
12,10000.0,109,0.6788990825688074,1,2,1,0,0,0,0,1,0,0,0,0,0,baixo
3,0.0,0,0.0,1,5,1,0,0,0,1,1,1,0,0,0,0,gratuito
3,10000.0,0,0.0,18,1,1,1,0,0,0,0,0,1,0,0,0,medio_alto
1,0.0,0,0.0,1,3,1,0,0,0,1,0,0,1,0,0,1,gratuito
5,10000.0,69,0.7971014492753623,10,2,1,1,1,1,1,0,0,0,0,1,0,medio_alto
8,10000.0,4,0.0,8,4,1,0,0,0,1,1,1,0,1,0,0,alto
2,10000.0,0,0.0,1,2,1,1,1,0,0,0,0,0,1,1,0,gratuito
3,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
3,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
8,750000.0,12198,0.9318740777176586,12,3,1,1,0,1,1,1,0,0,0,0,1,medio_baixo
9,150000.0,179,0.8044692737430168,2,2,1,0,0,0,0,0,0,1,0,0,0,gratuito
2,10000.0,6,1.0,1,5,1,0,0,0,1,1,1,1,0,0,0,medio_alto
3,10000.0,5,1.0,1,2,1,0,0,0,0,1,0,1,0,0,0,medio_baixo
4,35000.0,109,0.6880733944954128,7,1,1,0,0,3,0,1,0,0,0,0,0,alto
10,10000.0,22,0.3181818181818182,1,1,1,0,0,0,0,0,0,0,0,0,0,medio_alto
2,10000.0,97,0.979381443298969,1,3,1,0,0,0,1,1,0,1,0,0,0,medio_baixo
3,35000.0,5,1.0,1,4,1,0,0,0,1,1,0,1,0,1,0,baixo
11,150000.0,300,0.6533333333333333,13,3,1,0,0,5,1,0,0,0,0,1,0,gratuito
6,10000.0,12,1.0,4,2,1,0,0,0,1,1,0,0,0,0,0,alto
4,10000.0,0,0.0,3,6,1,0,0,0,1,1,0,1,1,1,0,alto
2,10000.0,2,0.5,2,2,1,0,0,0,1,0,0,0,0,0,0,medio_baixo
2,10000.0,12,0.8333333333333334,2,2,1,0,0,0,0,1,1,0,0,0,0,medio_alto
2,0.0,0,0.0,11,1,1,0,0,0,0,1,0,0,0,0,0,gratuito
7,150000.0,35,0.7428571428571429,1,1,1,0,0,0,0,1,0,0,0,0,0,gratuito
8,10000.0,43,0.9069767441860465,1,3,1,0,0,0,1,1,0,1,0,0,0,gratuito
10,35000.0,395,0.8354430379746836,8,3,1,1,0,8,1,1,0,0,1,0,0,medio_alto
1,10000.0,0,0.0,1,3,1,0,0,0,0,0,1,1,1,0,0,baixo
1,0.0,0,0.0,1,4,1,1,1,1,1,0,1,1,0,0,1,baixo
3,0.0,0,0.0,1,3,1,1,0,0,1,1,0,0,0,0,0,gratuito
2,0.0,0,0.0,103,3,1,0,0,0,1,1,1,0,0,0,0,gratuito
1,0.0,0,0.0,1,3,1,0,0,0,1,0,0,1,1,0,0,medio_alto
4,35000.0,34,0.9117647058823529,1,3,1,0,0,0,1,1,1,0,0,0,0,medio_baixo
1,10000.0,3,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,alto
1,10000.0,2,0.5,2,3,1,0,0,0,1,0,1,1,0,0,0,medio_baixo
2,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
2,10000.0,13,1.0,10,3,1,0,0,0,1,1,1,0,0,0,0,baixo
9,10000.0,76,0.7105263157894737,1,2,1,0,0,1,1,0,1,0,0,0,0,baixo
6,350000.0,1867,0.8768077129084092,9,3,1,1,0,1,1,0,1,1,0,0,0,baixo
5,10000.0,0,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,baixo
1,10000.0,15,0.5333333333333333,1,1,1,0,0,0,0,0,0,0,1,0,0,medio_baixo
3,10000.0,61,0.9672131147540983,6,1,1,0,0,0,1,0,0,0,0,0,0,medio_baixo
6,10000.0,5,0.8,1,2,1,0,0,0,1,1,0,0,0,0,0,baixo
2,10000.0,2,1.0,1,2,1,0,0,0,1,0,0,1,0,0,0,baixo
6,10000.0,3,0.6666666666666666,2,3,1,0,0,0,1,0,1,0,0,0,1,medio_baixo
1,0.0,0,0.0,1,2,1,0,0,0,0,0,0,1,0,0,1,baixo
